Impact_ID,Asset_ID,Region,Risk_Level,Last_Updated
IMP_08000,AST_01000,Europe,Low,2026-05-02 00:46:50
IMP_08001,AST_01000,Latin America,Low,2026-04-26 00:46:50
IMP_08002,AST_01000,Middle East & Africa,High,2026-05-05 00:46:50
IMP_08003,AST_01001,Middle East & Africa,High,2026-04-11 00:46:50
IMP_08004,AST_01002,North America,Low,2026-05-05 00:46:50
IMP_08005,AST_01002,Asia Pacific,Low,2026-05-08 00:46:50
IMP_08006,AST_01003,Europe,High,2026-04-28 00:46:50
IMP_08007,AST_01003,Asia Pacific,Low,2026-04-30 00:46:50
IMP_08008,AST_01004,North America,High,2026-04-30 00:46:50
IMP_08009,AST_01004,Asia Pacific,High,2026-05-05 00:46:50
IMP_08010,AST_01005,Middle East & Africa,High,2026-04-22 00:46:50
IMP_08011,AST_01005,Middle East & Africa,Low,2026-04-27 00:46:50
IMP_08012,AST_01005,Asia Pacific,Low,2026-05-04 00:46:50
IMP_08013,AST_01006,Middle East & Africa,High,2026-05-01 00:46:50
IMP_08014,AST_01006,Asia Pacific,Low,2026-04-19 00:46:50
IMP_08015,AST_01007,Latin America,High,2026-05-07 00:46:50
IMP_08016,AST_01007,Latin America,Low,2026-04-10 00:46:50
IMP_08017,AST_01007,North America,High,2026-04-26 00:46:50
IMP_08018,AST_01008,Latin America,Low,2026-05-03 00:46:50
IMP_08019,AST_01008,Middle East & Africa,Low,2026-04-18 00:46:50
IMP_08020,AST_01009,Latin America,Low,2026-04-19 00:46:50
IMP_08021,AST_01009,Asia Pacific,High,2026-04-12 00:46:50
IMP_08022,AST_01009,Middle East & Africa,Low,2026-05-06 00:46:50
IMP_08023,AST_01010,Middle East & Africa,High,2026-05-04 00:46:50
IMP_08024,AST_01010,Latin America,Low,2026-05-05 00:46:50
IMP_08025,AST_01011,Latin America,High,2026-04-23 00:46:50
IMP_08026,AST_01011,Europe,Low,2026-05-04 00:46:50
IMP_08027,AST_01011,Middle East & Africa,Low,2026-04-30 00:46:50
IMP_08028,AST_01012,Europe,Low,2026-04-16 00:46:50
IMP_08029,AST_01012,Asia Pacific,Low,2026-04-13 00:46:50
IMP_08030,AST_01013,Latin America,High,2026-04-23 00:46:50
IMP_08031,AST_01013,Latin America,Low,2026-05-05 00:46:50
IMP_08032,AST_01014,Europe,Low,2026-04-29 00:46:50
IMP_08033,AST_01014,Middle East & Africa,High,2026-04-20 00:46:50
IMP_08034,AST_01015,Latin America,Low,2026-04-12 00:46:50
IMP_08035,AST_01016,Asia Pacific,Low,2026-04-21 00:46:50
IMP_08036,AST_01017,Middle East & Africa,Low,2026-04-24 00:46:50
IMP_08037,AST_01017,Latin America,Low,2026-05-01 00:46:50
IMP_08038,AST_01018,Europe,Low,2026-04-23 00:46:50
IMP_08039,AST_01018,Asia Pacific,Low,2026-05-02 00:46:50
IMP_08040,AST_01018,Middle East & Africa,Low,2026-04-25 00:46:50
IMP_08041,AST_01019,Middle East & Africa,High,2026-04-13 00:46:50
IMP_08042,AST_01019,Europe,Low,2026-05-03 00:46:50
IMP_08043,AST_01020,Middle East & Africa,Low,2026-04-12 00:46:50
IMP_08044,AST_01021,Middle East & Africa,High,2026-04-24 00:46:50
IMP_08045,AST_01021,North America,Low,2026-04-12 00:46:50
IMP_08046,AST_01021,Asia Pacific,Low,2026-04-08 00:46:50
IMP_08047,AST_01022,North America,Low,2026-04-17 00:46:50
IMP_08048,AST_01022,Latin America,Low,2026-04-28 00:46:50
IMP_08049,AST_01022,North America,High,2026-05-06 00:46:50
IMP_08050,AST_01023,Middle East & Africa,Low,2026-04-10 00:46:50
IMP_08051,AST_01024,Europe,High,2026-04-17 00:46:50
IMP_08052,AST_01025,Asia Pacific,Low,2026-04-26 00:46:50
IMP_08053,AST_01025,Latin America,High,2026-05-02 00:46:50
IMP_08054,AST_01025,Asia Pacific,Low,2026-04-29 00:46:50
IMP_08055,AST_01026,Asia Pacific,Low,2026-04-09 00:46:50
IMP_08056,AST_01026,Latin America,Low,2026-04-16 00:46:50
